epoch,total_reward,total_demand
945,-79.0,78
946,3.0,74
947,-6.0,71
948,-5.0,65
949,-4.0,73
950,4.0,63
951,-28.0,68
952,-9.0,68
953,-95.0,71
954,-14.0,68
955,3.0,74
956,-169.0,70
957,-6.0,69
958,-34.0,65
959,-44.0,72
960,-15.0,65
961,-38.0,75
962,-27.0,76
963,-70.0,68
964,-19.0,73
965,13.0,68
966,-50.0,71
967,-91.0,71
968,-3.0,64
969,12.0,67
970,-5.0,69
971,-52.0,69
972,7.0,60
973,-80.0,81
974,7.0,72
975,-11.0,60
976,-12.0,71
977,6.0,64
978,-20.0,71
979,-22.0,66
980,-5.0,74
981,3.0,69
982,1.0,72
983,4.0,64
984,1.0,72
985,-36.0,75
986,-3.0,55
987,-26.0,70
988,-21.0,67
989,-23.0,66
990,-6.0,73
991,-23.0,65
992,-13.0,74
993,11.0,67
994,5.0,62
995,-45.0,71
996,0.0,66
997,-20.0,59
998,-36.0,73
999,-8.0,66
1000,-4.0,69
1001,-36.0,72
1002,11.0,72
1003,-42.0,67
1004,-28.0,68
1005,-11.0,77
1006,-11.0,70
1007,-3.0,60
1008,-13.0,59
1009,-40.0,71
1010,-21.0,71
1011,-4.0,72
1012,-3.0,67
1013,3.0,68
1014,-6.0,67
1015,-16.0,69
1016,-29.0,68
1017,-6.0,69
1018,7.0,68
1019,-10.0,63
1020,2.0,69
1021,-15.0,67
1022,-16.0,63
1023,-58.0,72
1024,-42.0,73
1025,-16.0,74
1026,5.0,72
1027,0.0,67
1028,-10.0,78
1029,0.0,70
1030,-10.0,73
1031,-17.0,63
1032,-6.0,77
1033,12.0,58
1034,-16.0,70
1035,12.0,64
1036,8.0,68
1037,-5.0,72
1038,0.0,66
1039,-11.0,71
1040,-87.0,73
1041,-9.0,69
1042,4.0,70
1043,10.0,65
1044,-10.0,61
1045,-22.0,66
1046,-3.0,69
1047,8.0,66
1048,-24.0,67
1049,-1.0,71
1050,-2.0,69
1051,-65.0,78
1052,11.0,67
1053,-3.0,66
1054,2.0,71
1055,0.0,67
1056,-6.0,67
1057,4.0,68
1058,-67.0,68
1059,-6.0,82
1060,7.0,61
1061,-65.0,71
1062,-33.0,67
1063,5.0,71
1064,-22.0,67
1065,-51.0,79
1066,6.0,65
1067,1.0,66
1068,-14.0,68
1069,-19.0,66
1070,-9.0,62
1071,0.0,70
1072,-21.0,67
1073,5.0,72
1074,-9.0,66
1075,-19.0,69
1076,-38.0,68
1077,-5.0,63
1078,-27.0,67
1079,-6.0,59
1080,-2.0,63
1081,-10.0,63
1082,11.0,63
1083,5.0,73
1084,-3.0,72
1085,-117.0,68
1086,0.0,62
1087,8.0,69
1088,-3.0,61
1089,-19.0,72
1090,1.0,70
1091,-23.0,70
1092,-24.0,70
1093,-31.0,67
1094,-32.0,60
1095,-21.0,67
1096,-12.0,67
1097,3.0,66
1098,-18.0,67
1099,-22.0,70
1100,-13.0,69
1101,-22.0,78
1102,-37.0,71
1103,3.0,68
1104,-14.0,60
1105,-4.0,68
1106,-2.0,63
1107,4.0,61
1108,-20.0,67
1109,-7.0,68
1110,6.0,66
1111,-39.0,67
1112,-13.0,64
1113,-6.0,69
1114,-29.0,70
1115,2.0,65
1116,-16.0,72
1117,-52.0,67
1118,-8.0,64
1119,12.0,61
1120,-1.0,71
1121,-47.0,77
1122,-11.0,75
1123,-1.0,63
1124,-3.0,66
1125,2.0,71
1126,-8.0,71
1127,3.0,63
1128,-50.0,61
1129,-29.0,71
1130,-61.0,69
1131,-43.0,56
1132,-25.0,73
1133,4.0,70
1134,-169.0,73
1135,5.0,57
1136,-4.0,70
1137,-83.0,82
1138,-15.0,63
1139,11.0,65
1140,1.0,73
1141,-12.0,72
1142,-25.0,71
1143,-4.0,66
1144,-7.0,61
1145,-21.0,70
1146,-2.0,69
1147,8.0,64
1148,-133.0,72
1149,7.0,62
1150,-26.0,65
1151,-85.0,69
1152,1.0,66
1153,1.0,70
1154,5.0,69
1155,-14.0,68
1156,-23.0,75
1157,-1.0,76
1158,-3.0,64
1159,-7.0,65
1160,-6.0,76
1161,-8.0,70
1162,-100.0,67
1163,9.0,61
1164,-11.0,69
1165,-68.0,64
1166,5.0,62
1167,-9.0,71
1168,-13.0,65
1169,-29.0,60
1170,-43.0,70
1171,-6.0,63
1172,10.0,62
1173,3.0,69
1174,9.0,63
1175,-56.0,66
1176,-12.0,74
1177,-2.0,60
1178,2.0,69
1179,5.0,59
1180,-34.0,74
1181,-5.0,67
1182,-9.0,69
1183,-119.0,75
1184,-65.0,65
1185,-25.0,71
1186,4.0,60
1187,6.0,69
1188,-3.0,63
1189,0.0,63
1190,-29.0,67
1191,-18.0,76
1192,8.0,67
1193,-20.0,68
1194,0.0,62
1195,-3.0,63
1196,3.0,60
1197,8.0,69
1198,-9.0,71
1199,-48.0,64
1200,8.0,64
1201,4.0,59
1202,-89.0,66
1203,-57.0,66
1204,14.0,64
1205,-18.0,69
1206,-49.0,67
1207,-7.0,63
1208,2.0,69
1209,-10.0,72
1210,-11.0,65
1211,2.0,67
1212,-4.0,69
1213,-105.0,66
1214,-20.0,70
1215,-17.0,72
1216,4.0,60
1217,-6.0,71
1218,6.0,59
1219,-19.0,69
1220,6.0,61
1221,4.0,62
1222,-1.0,58
1223,-19.0,68
1224,-112.0,72
1225,3.0,62
1226,-25.0,77
1227,-169.0,76
1228,11.0,74
1229,-18.0,76
1230,-6.0,68
1231,3.0,72
1232,0.0,71
1233,-1.0,64
1234,-98.0,70
1235,-40.0,78
1236,-23.0,58
1237,-12.0,67
1238,6.0,63
1239,-6.0,68
1240,-52.0,68
1241,-21.0,68
1242,10.0,62
1243,-4.0,70
1244,-19.0,70
1245,4.0,69
1246,3.0,63
1247,-9.0,74
1248,-14.0,64
1249,-6.0,67
1250,-14.0,67
1251,-13.0,66
1252,-1.0,69
1253,-1.0,72
1254,-5.0,68
1255,-23.0,71
1256,-19.0,69
1257,-15.0,67
1258,-2.0,65
1259,-3.0,62
1260,-11.0,64
1261,-71.0,75
1262,-14.0,67
1263,0.0,70
1264,-6.0,71
1265,-1.0,70
1266,7.0,61
1267,-26.0,64
1268,3.0,61
1269,-2.0,74
1270,6.0,61
1271,-15.0,70
1272,-11.0,62
1273,-31.0,62
1274,-29.0,68
1275,3.0,66
1276,6.0,62
1277,-16.0,66
1278,0.0,70
1279,-11.0,66
1280,0.0,71
1281,-15.0,70
1282,-28.0,71
1283,-5.0,67
1284,-28.0,73
1285,-19.0,75
1286,-21.0,70
1287,-13.0,67
1288,-14.0,67
1289,-19.0,69
1290,9.0,67
1291,-28.0,70
1292,-12.0,67
1293,-25.0,73
1294,4.0,58
1295,-25.0,74
1296,-5.0,67
1297,-11.0,61
1298,4.0,59
1299,-18.0,75
1300,-8.0,72
1301,8.0,65
1302,-3.0,77
1303,-30.0,62
1304,-29.0,70
1305,-62.0,77
1306,-6.0,73
1307,-96.0,67
1308,-53.0,70
1309,-3.0,63
1310,6.0,63
1311,-13.0,70
1312,-18.0,72
1313,-16.0,75
1314,-14.0,61
1315,-58.0,70
1316,8.0,58
1317,-98.0,70
1318,-85.0,70
1319,-5.0,77
1320,-119.0,74
1321,-20.0,77
1322,3.0,71
1323,-8.0,73
1324,-15.0,72
1325,-21.0,72
1326,-4.0,64
1327,-32.0,59
1328,-2.0,70
1329,10.0,61
1330,-23.0,66
1331,-2.0,69
1332,-16.0,58
1333,-18.0,66
1334,1.0,69
1335,-58.0,70
1336,-8.0,63
1337,-5.0,66
1338,9.0,65
1339,-14.0,65
1340,-6.0,67
1341,-34.0,73
1342,2.0,62
1343,-6.0,71
1344,-3.0,72
1345,-28.0,70
1346,2.0,68
1347,-12.0,69
1348,-10.0,64
1349,4.0,60
1350,9.0,64
1351,-6.0,71
1352,-7.0,67
1353,-12.0,67
1354,-2.0,68
1355,4.0,61
1356,7.0,71
1357,2.0,59
1358,-12.0,66
1359,-12.0,69
1360,-8.0,70
1361,-27.0,73
1362,-21.0,68
1363,-3.0,71
1364,3.0,58
1365,-23.0,71
1366,-8.0,64
1367,-40.0,75
1368,-36.0,73
1369,-25.0,75
1370,-20.0,74
1371,-12.0,67
1372,3.0,75
1373,-11.0,72
1374,8.0,66
1375,-89.0,73
1376,-24.0,68
1377,-22.0,69
1378,2.0,62
1379,-33.0,70
1380,-18.0,68
1381,-31.0,70
1382,-6.0,75
1383,-2.0,62
1384,-4.0,70
1385,-37.0,71
1386,0.0,68
1387,6.0,67
1388,10.0,63
1389,-54.0,68
1390,-38.0,69
1391,-15.0,76
1392,-17.0,75
1393,-12.0,65
1394,-9.0,68
1395,-4.0,75
1396,-14.0,69
1397,-13.0,72
1398,-18.0,68
1399,-22.0,74
1400,-3.0,62
1401,-21.0,66
1402,-35.0,60
1403,6.0,66
1404,-2.0,64
1405,-17.0,73
1406,-9.0,59
1407,-63.0,61
1408,0.0,59
1409,-4.0,72
1410,-20.0,71
1411,-7.0,70
1412,-127.0,74
1413,-9.0,70
1414,-5.0,68
1415,-72.0,67
1416,-13.0,73
1417,-1.0,74
1418,-22.0,56
1419,-2.0,73
1420,-63.0,71
1421,-14.0,67
1422,6.0,60
1423,-149.0,73
1424,-22.0,63
1425,1.0,62
1426,-18.0,70
1427,-6.0,59
1428,3.0,67
1429,-30.0,71
1430,-29.0,73
1431,10.0,63
1432,-7.0,70
1433,-29.0,75
1434,7.0,62
1435,-8.0,58
1436,-18.0,69
1437,-16.0,62
1438,-3.0,67
1439,-7.0,64
1440,-26.0,79
1441,-9.0,71
1442,7.0,56
1443,1.0,64
1444,-2.0,65
1445,-31.0,70
1446,4.0,69
1447,4.0,63
1448,-4.0,75
1449,-47.0,64
1450,-9.0,71
1451,-4.0,75
1452,-30.0,69
1453,-19.0,69
1454,-70.0,64
1455,-9.0,65
1456,2.0,64
1457,-4.0,72
1458,-106.0,74
1459,-2.0,79
1460,5.0,70
1461,0.0,67
1462,-4.0,67
1463,-36.0,71
1464,-10.0,68
1465,-15.0,67
1466,-41.0,75
1467,-1.0,67
1468,-23.0,75
1469,6.0,65
1470,2.0,69
1471,-11.0,69
1472,2.0,64
1473,2.0,65
1474,6.0,65
1475,-12.0,61
1476,-23.0,66
1477,-70.0,66
1478,-2.0,69
1479,-19.0,66
1480,-4.0,67
1481,-6.0,64
1482,-52.0,66
1483,-5.0,68
1484,-91.0,67
1485,-22.0,71
1486,7.0,73
1487,-26.0,76
1488,-1.0,73
1489,4.0,63
1490,-24.0,68
1491,-6.0,60
1492,-19.0,62
1493,11.0,67
1494,-19.0,61
1495,-13.0,68
1496,-3.0,69
1497,-24.0,69
1498,5.0,71
1499,-16.0,65
1500,-1.0,67
1501,-31.0,70
1502,12.0,62
1503,-28.0,75
1504,-39.0,74
1505,-6.0,72
1506,-17.0,67
1507,-16.0,70
1508,6.0,63
1509,-28.0,75
1510,-8.0,56
1511,-4.0,67
1512,-25.0,69
1513,4.0,67
1514,-20.0,61
1515,-6.0,78
1516,-3.0,63
1517,-15.0,72
1518,-4.0,64
1519,-10.0,72
1520,-1.0,68
1521,-9.0,74
1522,-5.0,71
1523,-13.0,72
1524,3.0,63
1525,-22.0,67
