epoch,total_reward,total_demand
1377,8.0,68
1378,-18.0,69
1379,6.0,59
1380,1.0,71
1381,-1.0,76
1382,7.0,65
1383,-2.0,69
1384,9.0,68
1385,11.0,63
1386,5.0,70
1387,8.0,62
1388,-1.0,75
1389,15.0,57
1390,14.0,64
1391,11.0,68
1392,2.0,69
1393,-23.0,74
1394,-15.0,81
1395,3.0,71
1396,-23.0,69
1397,12.0,62
1398,5.0,70
1399,15.0,63
1400,13.0,70
1401,16,65
1402,15.0,58
1403,10.0,67
1404,-13.0,77
1405,13.0,67
1406,-6.0,72
1407,11.0,63
1408,5.0,63
1409,10.0,58
1410,9.0,65
1411,10.0,68
1412,-12.0,74
1413,12.0,66
1414,15.0,66
1415,-2.0,83
1416,10.0,64
1417,14.0,65
1418,9.0,66
1419,10.0,74
1420,3.0,70
1421,3.0,77
1422,11.0,67
1423,11.0,67
1424,15.0,64
1425,4.0,73
1426,11.0,70
1427,8.0,69
1428,11.0,72
1429,13.0,68
1430,12.0,71
1431,9.0,66
1432,10.0,66
1433,17.0,61
1434,16.0,62
1435,10.0,73
1436,11.0,71
1437,11.0,64
1438,-14.0,80
1439,11.0,70
1440,10.0,65
1441,11.0,66
1442,0.0,70
1443,12.0,69
1444,3.0,65
1445,1.0,57
1446,15.0,65
1447,-3.0,71
1448,3.0,70
1449,-5.0,66
1450,1.0,66
1451,7.0,77
1452,10.0,67
1453,16.0,61
1454,17.0,57
1455,14.0,70
1456,13.0,60
1457,12.0,68
1458,7.0,62
1459,-5.0,72
1460,10.0,67
1461,-1.0,72
1462,4.0,70
1463,13.0,62
1464,3.0,74
1465,6.0,73
1466,12.0,67
1467,9.0,71
1468,-21.0,73
1469,12.0,67
1470,-47.0,71
1471,-3.0,73
1472,8.0,60
1473,8.0,70
1474,14.0,68
1475,-3.0,72
1476,2.0,68
1477,-19.0,76
1478,10.0,70
1479,13.0,61
1480,15.0,62
1481,15.0,63
1482,11.0,75
1483,3.0,62
1484,9.0,72
1485,2.0,63
1486,3.0,74
1487,9.0,66
1488,10.0,67
1489,4.0,69
1490,9.0,66
1491,10.0,70
1492,7.0,63
1493,1.0,71
1494,11.0,73
1495,7.0,70
1496,14.0,64
1497,-19.0,79
1498,11.0,65
1499,4.0,69
1500,13.0,68
1501,15.0,52
1502,13.0,62
1503,18.0,67
1504,13.0,59
1505,0.0,70
1506,11.0,73
1507,7.0,64
1508,3.0,65
1509,11.0,72
1510,7.0,70
1511,14.0,64
1512,-6.0,72
1513,13.0,58
1514,10.0,71
1515,12.0,74
1516,2.0,76
1517,14.0,64
1518,13.0,66
1519,7.0,62
1520,3.0,74
1521,1.0,67
1522,10.0,73
1523,-2.0,72
1524,12.0,69
1525,-19.0,74
1526,9.0,72
1527,7.0,74
1528,16.0,57
1529,13.0,65
1530,5.0,62
1531,14.0,67
1532,0.0,66
1533,9.0,72
1534,9.0,72
1535,15.0,64
1536,-1.0,67
1537,14.0,58
1538,4.0,73
1539,11.0,58
1540,3.0,72
1541,-10.0,75
1542,16.0,68
1543,15.0,58
1544,6.0,74
1545,-23.0,72
1546,15.0,68
1547,13.0,64
1548,2.0,65
1549,6.0,68
1550,11.0,66
1551,20,62
1552,-7.0,73
1553,-11.0,75
1554,11.0,64
1555,7.0,66
1556,7.0,67
1557,-2.0,68
1558,8.0,52
1559,3.0,63
1560,8.0,59
1561,4.0,72
1562,-1.0,63
1563,9.0,61
1564,1.0,74
1565,11.0,61
1566,8.0,66
1567,3.0,68
1568,-21.0,78
1569,-2.0,74
1570,8.0,68
1571,9.0,65
1572,12.0,68
1573,11.0,71
1574,12.0,65
1575,11.0,66
1576,5.0,72
1577,10.0,68
1578,4.0,73
1579,10.0,66
1580,-18.0,72
1581,1.0,72
1582,-2.0,74
1583,9.0,73
1584,7.0,72
1585,-4.0,74
1586,8.0,76
1587,16.0,67
1588,1.0,70
1589,16.0,64
1590,12.0,66
1591,16.0,71
1592,-9.0,69
1593,-14.0,77
1594,15.0,65
1595,10.0,65
1596,13.0,65
1597,1.0,76
1598,7.0,68
1599,4.0,66
1600,2.0,71
1601,4.0,77
1602,-30.0,76
1603,-16.0,75
1604,16.0,64
1605,11.0,70
1606,8.0,66
1607,15.0,63
1608,18,65
1609,4.0,72
1610,9.0,70
1611,0.0,75
